Date: 2020-06-07 23:24:45s, Time_Cost: 130s, Epoch: [77/100], Train_PSNR: 28.71, Val_PSNR: 23.04, Val_SSIM: 0.7871
Date: 2020-06-07 23:26:55s, Time_Cost: 130s, Epoch: [78/100], Train_PSNR: 28.81, Val_PSNR: 22.97, Val_SSIM: 0.7724
Date: 2020-06-07 23:29:05s, Time_Cost: 130s, Epoch: [79/100], Train_PSNR: 28.81, Val_PSNR: 23.14, Val_SSIM: 0.7789
Date: 2020-06-07 23:31:15s, Time_Cost: 131s, Epoch: [80/100], Train_PSNR: 28.80, Val_PSNR: 22.88, Val_SSIM: 0.7802
Date: 2020-06-07 23:33:26s, Time_Cost: 130s, Epoch: [81/100], Train_PSNR: 28.88, Val_PSNR: 23.22, Val_SSIM: 0.7852
Date: 2020-06-07 23:35:36s, Time_Cost: 130s, Epoch: [82/100], Train_PSNR: 28.89, Val_PSNR: 23.02, Val_SSIM: 0.7822
Date: 2020-06-07 23:37:46s, Time_Cost: 130s, Epoch: [83/100], Train_PSNR: 28.89, Val_PSNR: 22.73, Val_SSIM: 0.7792
Date: 2020-06-07 23:39:56s, Time_Cost: 130s, Epoch: [84/100], Train_PSNR: 28.87, Val_PSNR: 23.02, Val_SSIM: 0.7873
Date: 2020-06-07 23:42:06s, Time_Cost: 130s, Epoch: [85/100], Train_PSNR: 28.86, Val_PSNR: 22.90, Val_SSIM: 0.7789
Date: 2020-06-07 23:44:17s, Time_Cost: 131s, Epoch: [86/100], Train_PSNR: 29.03, Val_PSNR: 23.15, Val_SSIM: 0.7792
Date: 2020-06-07 23:46:27s, Time_Cost: 130s, Epoch: [87/100], Train_PSNR: 28.98, Val_PSNR: 23.04, Val_SSIM: 0.7809
Date: 2020-06-07 23:48:37s, Time_Cost: 130s, Epoch: [88/100], Train_PSNR: 28.92, Val_PSNR: 23.19, Val_SSIM: 0.7880
